Amostra,Ciclos,N Bacias,Atratores,H,W,Q,dist
6981-151-151-1361-236-1253-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2792157571720083,0.7988369923026032,0.0,0
6981-151-151-1352-236-1253-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2792157571720083,0.8445537511396318,0.04571675883702864,1
6981-151-151-1361-236-1253-1371-1176-1404-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.28130058624323484,0.7767340687119991,0.022201030235291172,1
6981-151-139-1352-236-1253-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.38105082955147707,0.6480941336337579,0.18191699042746698,2
6970-151-151-1352-236-1253-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2792157571720083,0.8445537511396318,0.04571675883702864,2
6981-151-151-1361-236-947-1371-1176-1404-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2799131168868862,0.7909440861762699,0.007923653052162524,2
6981-151-151-1361-236-1253-1370-1176-1404-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2655054596340169,0.7432742033523273,0.05722932617559946,2
6981-151-139-1352-236-596-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.3608244321072158,0.6713207582143387,0.15139473498353054,3
6981-151-139-1352-237-1253-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.3882516125189054,0.5973701967041062,0.22908008966288632,3
6970-151-151-1352-236-947-1371-1176-747-434-291,False,7,"['00000000000', '00000000100', '00001000000', '00001000100', '00110000000', '01000000100', '01001000100']",0.2778136834173486,0.8450381747160456,0.04622245198184195,3
